"BTK.Open" "BTK.High" "BTK.Low" "BTK.Close" "BTK.Volume" "BTK.Adjusted"
"2003-03-12" 312.25 312.25 312.25 312.25 0 312.25
"2003-03-13" 327.329987 327.329987 327.329987 327.329987 0 327.329987
"2003-03-14" 324.149994 324.149994 324.149994 324.149994 0 324.149994
"2003-03-17" 337.98999 337.98999 337.98999 337.98999 0 337.98999
"2003-03-18" NA NA NA NA NA NA
"2003-03-19" 346.779999 346.779999 346.779999 346.779999 0 346.779999
"2003-03-20" 343.829987 343.829987 343.829987 343.829987 0 343.829987
"2003-03-21" NA NA NA NA NA NA
"2003-03-24" 335.290009 335.290009 335.290009 335.290009 0 335.290009
"2003-03-25" NA NA NA NA NA NA
"2003-03-26" NA NA NA NA NA NA
"2003-03-27" NA NA NA NA NA NA
"2003-03-28" 340.829987 340.829987 340.829987 340.829987 0 340.829987
"2003-03-31" 333.299988 333.299988 333.299988 333.299988 0 333.299988
"2003-04-01" 336.420013 336.420013 336.420013 336.420013 0 336.420013
"2003-04-02" 352.320007 352.320007 352.320007 352.320007 0 352.320007
"2003-04-03" NA NA NA NA NA NA
"2003-04-04" 344.149994 344.149994 344.149994 344.149994 0 344.149994
"2003-04-07" 338.089996 338.089996 338.089996 338.089996 0 338.089996
"2003-04-08" NA NA NA NA NA NA
"2003-04-09" NA NA NA NA NA NA
"2003-04-10" 328.709991 328.709991 328.709991 328.709991 0 328.709991
"2003-04-11" 324.730011 324.730011 324.730011 324.730011 0 324.730011
"2003-04-14" NA NA NA NA NA NA
"2003-04-15" 332.440002 332.440002 332.440002 332.440002 0 332.440002
"2003-04-16" 325.480011 325.480011 325.480011 325.480011 0 325.480011
"2003-04-17" 334.98999 334.98999 334.98999 334.98999 0 334.98999
"2003-04-21" 335.980011 335.980011 335.980011 335.980011 0 335.980011
"2003-04-22" 346.480011 346.480011 346.480011 346.480011 0 346.480011
"2003-04-23" 358.200012 358.200012 358.200012 358.200012 0 358.200012
"2003-04-24" NA NA NA NA NA NA
"2003-04-25" NA NA NA NA NA NA
"2003-04-28" 371.799988 371.799988 371.799988 371.799988 0 371.799988
"2003-04-29" 373.130005 373.130005 373.130005 373.130005 0 373.130005
"2003-04-30" NA NA NA NA NA NA
"2003-05-01" 377.839996 377.839996 377.839996 377.839996 0 377.839996
"2003-05-02" 388.809998 388.809998 388.809998 388.809998 0 388.809998
"2003-05-05" NA NA NA NA NA NA
"2003-05-06" 385.799988 385.799988 385.799988 385.799988 0 385.799988
"2003-05-07" NA NA NA NA NA NA
"2003-05-08" NA NA NA NA NA NA
"2003-05-09" 381.779999 381.779999 381.779999 381.779999 0 381.779999
"2003-05-12" NA NA NA NA NA NA
"2003-05-13" 390.5 390.5 390.5 390.5 0 390.5
"2003-05-14" NA NA NA NA NA NA
"2003-05-15" 409.519989 409.519989 409.519989 409.519989 0 409.519989
"2003-05-16" NA NA NA NA NA NA
"2003-05-19" NA NA NA NA NA NA
"2003-05-20" 405.5 405.5 405.5 405.5 0 405.5
"2003-05-21" 405.540009 405.540009 405.540009 405.540009 0 405.540009
"2003-05-22" NA NA NA NA NA NA
"2003-05-23" NA NA NA NA NA NA
"2003-05-27" NA NA NA NA NA NA
"2003-05-28" NA NA NA NA NA NA
"2003-05-29" 437.940002 437.940002 437.940002 437.940002 0 437.940002
"2003-05-30" 449.359985 449.359985 449.359985 449.359985 0 449.359985
"2003-06-02" 455.279999 455.279999 455.279999 455.279999 0 455.279999
"2003-06-03" NA NA NA NA NA NA
"2003-06-04" 464.190002 464.190002 464.190002 464.190002 0 464.190002
"2003-06-05" 490.779999 490.779999 490.779999 490.779999 0 490.779999
"2003-06-06" 482.820007 482.820007 482.820007 482.820007 0 482.820007
"2003-06-09" 460.720001 460.720001 460.720001 460.720001 0 460.720001
"2003-06-10" NA NA NA NA NA NA
"2003-06-11" NA NA NA NA NA NA
"2003-06-12" NA NA NA NA NA NA
"2003-06-13" NA NA NA NA NA NA
"2003-06-16" NA NA NA NA NA NA
"2003-06-17" NA NA NA NA NA NA
"2003-06-18" 464.920013 464.920013 464.920013 464.920013 0 464.920013
"2003-06-19" NA NA NA NA NA NA
"2003-06-20" 449.51001 449.51001 449.51001 449.51001 0 449.51001
"2003-06-23" NA NA NA NA NA NA
"2003-06-24" NA NA NA NA NA NA
"2003-06-25" NA NA NA NA NA NA
"2003-06-26" NA NA NA NA NA NA
"2003-06-27" NA NA NA NA NA NA
"2003-06-30" NA NA NA NA NA NA
"2003-07-01" NA NA NA NA NA NA
"2003-07-02" NA NA NA NA NA NA
"2003-07-03" NA NA NA NA NA NA
"2003-07-07" 457.040009 457.040009 457.040009 457.040009 0 457.040009
"2003-07-08" 465.040009 465.040009 465.040009 465.040009 0 465.040009
"2003-07-09" 469.329987 469.329987 469.329987 469.329987 0 469.329987
"2003-07-10" 461.140015 461.140015 461.140015 461.140015 0 461.140015
"2003-07-11" 466.920013 466.920013 466.920013 466.920013 0 466.920013
"2003-07-14" 473.160004 473.160004 473.160004 473.160004 0 473.160004
"2003-07-15" NA NA NA NA NA NA
"2003-07-16" 466.48999 466.48999 466.48999 466.48999 0 466.48999
"2003-07-17" 456.359985 456.359985 456.359985 456.359985 0 456.359985
"2003-07-18" 461.75 461.75 461.75 461.75 0 461.75
"2003-07-21" 458.380005 458.380005 458.380005 458.380005 0 458.380005
